AVG 48.0%

Ep71 0s lossLab=0.1376 trainAcc=0.9625 testAcc=50.00 maxAcc=60.42 Ep59 testAccE=12.50 testF1E=5.82 maxAccE=18.75 maxF1E=7.56 Ep19
Ep72 0s lossLab=0.0356 trainAcc=0.9958 testAcc=47.92 maxAcc=60.42 Ep59 testAccE=12.50 testF1E=5.85 maxAccE=18.75 maxF1E=7.56 Ep19
Ep73 0s lossLab=0.1549 trainAcc=0.9458 testAcc=35.42 maxAcc=60.42 Ep59 testAccE=12.50 testF1E=5.98 maxAccE=18.75 maxF1E=7.56 Ep19
Ep74 0s lossLab=0.5805 trainAcc=0.8333 testAcc=50.00 maxAcc=60.42 Ep59 testAccE=12.50 testF1E=5.84 maxAccE=18.75 maxF1E=7.56 Ep19
Ep75 0s lossLab=0.5398 trainAcc=0.8583 testAcc=45.83 maxAcc=60.42 Ep59 testAccE=14.58 testF1E=6.90 maxAccE=18.75 maxF1E=7.56 Ep19
Ep76 0s lossLab=0.1888 trainAcc=0.9292 testAcc=50.00 maxAcc=60.42 Ep59 testAccE=12.50 testF1E=5.00 maxAccE=18.75 maxF1E=7.56 Ep19
Ep77 0s lossLab=0.1498 trainAcc=0.9375 testAcc=54.17 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=3.17 maxAccE=18.75 maxF1E=7.56 Ep19
Ep78 0s lossLab=0.0397 trainAcc=0.9958 testAcc=56.25 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=3.12 maxAccE=18.75 maxF1E=7.56 Ep19
Ep79 0s lossLab=0.1408 trainAcc=0.9542 testAcc=41.67 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.94 maxAccE=18.75 maxF1E=7.56 Ep19
Ep80 0s lossLab=0.0359 trainAcc=0.9958 testAcc=50.00 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.92 maxAccE=18.75 maxF1E=7.56 Ep19
Ep81 0s lossLab=0.0364 trainAcc=0.9875 testAcc=47.92 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.59 maxAccE=18.75 maxF1E=7.56 Ep19
Ep82 0s lossLab=0.0242 trainAcc=0.9917 testAcc=50.00 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.48 maxAccE=18.75 maxF1E=7.56 Ep19
Ep83 0s lossLab=0.8881 trainAcc=0.8000 testAcc=37.50 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.46 maxAccE=18.75 maxF1E=7.56 Ep19
Ep84 0s lossLab=0.3969 trainAcc=0.8542 testAcc=47.92 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.46 maxAccE=18.75 maxF1E=7.56 Ep19
Ep85 0s lossLab=0.1038 trainAcc=0.9792 testAcc=47.92 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.46 maxAccE=18.75 maxF1E=7.56 Ep19
Ep86 0s lossLab=0.0646 trainAcc=0.9792 testAcc=47.92 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.46 maxAccE=18.75 maxF1E=7.56 Ep19
Ep87 0s lossLab=0.0246 trainAcc=1.0000 testAcc=50.00 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.46 maxAccE=18.75 maxF1E=7.56 Ep19
Ep88 0s lossLab=0.0145 trainAcc=1.0000 testAcc=52.08 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.46 maxAccE=18.75 maxF1E=7.56 Ep19
Ep89 0s lossLab=0.0073 trainAcc=1.0000 testAcc=47.92 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.46 maxAccE=18.75 maxF1E=7.56 Ep19
Ep90 0s lossLab=0.0053 trainAcc=1.0000 testAcc=47.92 maxAcc=60.42 Ep59 testAccE=10.42 testF1E=2.46 maxAccE=18.75 maxF1E=7.56 Ep19
